time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.009,-11792,8068,-6344,81,1124,-1546
0.117,-11508,8024,-8232,-498,-825,-329
0.224,-11276,7808,-7056,-916,-2250,1263
0.333,-11696,10004,-4968,-596,211,272
0.439,-11008,8216,-7216,185,-997,-1150
0.547,-12204,6576,-5476,1545,-854,-71
0.655,-10676,9748,-6788,-3356,-90,-1331
0.762,-12072,8688,-5396,-791,753,-1471
0.87,-12064,9120,-5540,-1252,534,-3673
0.977,-11872,7300,-7256,1703,-1498,-3577
1.084,-10948,10408,-7228,1099,-2298,-6081
1.192,-15812,8608,-6972,-1754,-83,-12187
1.3,-17388,9172,-8396,-5186,-2457,-16978
1.406,-10832,3196,-1044,-981,-1781,-5065
1.513,-6336,4076,-2900,-5328,153,11233
1.621,-11408,7308,-7168,2419,11458,14941
1.728,-17152,8832,-10184,4408,9911,24457
1.836,-17872,10024,-9128,1722,9519,24364
1.942,-16356,2808,-3776,7025,8463,9077
2.05,-17424,11372,-6648,4706,-12192,-32768
2.157,-6052,36,-31076,-13550,-26951,7251
2.264,-10072,19532,-800,-1321,-13965,6019
2.371,-10532,10792,-5260,2430,-485,-4902
2.477,-13940,7472,-5308,1919,-827,-7000
2.585,-11600,8492,-7412,-2384,-7003,-3827
2.691,-12916,7596,-8260,-1006,1871,-9717
2.797,-14300,8516,-5744,-1189,-5102,-10182
2.903,-19840,11004,-5136,-6214,-12756,-7525
3.01,-14992,9928,-6936,-4030,-8635,-23090
3.117,-14900,1744,13224,44,11292,-7680
3.224,-9876,-72,-10040,-748,9210,29241
3.331,-22524,4292,-6456,3764,20658,20807
3.437,-22396,11360,-5508,6546,18771,24061
3.544,-20588,512,-4684,-947,13925,4709
3.653,-19584,8008,-8428,-1586,-24262,-32768
3.759,-12712,-7484,-14560,-4230,-14666,6556
3.867,-8548,18668,-1992,-1129,-7317,8169
3.974,-11064,7256,-10080,4013,11348,-15669
4.081,-14708,7756,-3648,-271,-4434,-5768
4.189,-13296,7404,-5860,-2557,-4179,-7985
4.297,-13988,3424,-10516,-782,2179,-9867
4.404,-15988,7208,-6164,-1409,-4552,-9534
4.51,-21640,9452,-15396,-7267,-7515,-15324
4.619,-15296,9924,-380,-2374,-10258,-17387
4.727,-2712,9392,-2968,-4688,-6975,3211
4.835,-9284,3464,-10696,5672,14685,29506
4.941,-20228,10172,-10728,5480,23980,23985
5.048,-20788,6976,-11012,9080,24873,18579
5.155,-24256,56,-220,8055,7969,-10693
5.262,2884,32767,-13028,-7308,-29951,21167
5.369,-3668,9952,-15012,14297,26159,-24177
5.475,-10848,-4180,-16724,-2431,6052,3600
5.583,-9000,13236,-5024,1158,2676,1611
5.69,-16124,5736,-5868,5492,2703,-8203
5.797,-12660,8564,-7196,-6502,-12589,-3830
5.903,-15192,3080,-7844,-4084,-5796,-5910
6.01,-18876,11904,-10584,-5900,-15663,-3276
6.118,-15928,15648,-7724,-4261,-3493,-25490
6.226,-4416,-2880,-2720,3304,17335,4687
6.332,-1584,3784,-12256,-1225,14368,25717
6.439,-21348,9724,-2512,733,18071,32767
6.545,-32124,3224,-12444,6997,27742,23036
6.652,-26948,-528,-3704,10463,13434,11802
6.759,-19628,21616,-3332,-15085,-30968,13185
6.866,-8188,8888,-9120,1964,7166,-22053
6.972,-9272,10232,-7648,147,-3784,-4014
7.078,-12656,4048,-11120,-1159,6225,-152
7.187,-11536,11884,-3520,3002,74,-6313
7.294,-13308,8400,-6924,-740,-7669,-7881
7.4,-19600,8296,-6232,-5420,-10207,-4892
7.507,-21928,16912,-16120,-10495,-15487,-27931
7.614,2552,7636,-5280,4835,1021,-18939
7.722,1672,10536,-4124,-11918,-3707,16863
7.829,-16996,6144,-9016,12549,25657,26687
7.935,-29776,14100,-7108,-904,30071,32767
8.042,-25584,492,-5268,15383,25762,12228
8.149,20,32767,-14808,7618,-21504,-32768
8.256,-8696,-9224,-32768,-16277,-32768,-9272
8.363,-10044,19416,1684,-803,-13576,3606
8.471,-10200,4716,-19424,-9603,6888,-740
8.577,-12368,12712,-2764,4916,3441,-4488
8.684,-12600,6420,-8492,-1095,-7103,-7304
8.792,-11556,7984,-14124,-8705,-5608,-8768
8.899,-19780,13812,-10620,-6587,-8034,-12351
9.005,-17116,11120,-7872,-5268,-8649,-27788
9.112,-8012,416,4964,9164,23782,-1848
9.22,-404,1476,-17668,307,15169,32767
9.327,-20240,14340,-4044,2302,19747,32767
9.434,-32364,3012,-10408,12841,24900,19823
9.54,-28904,-216,1284,14893,3189,-10270
9.647,-22952,15068,-11844,-28138,-32768,3885
9.756,-10924,14028,160,7955,12685,-17096
9.863,-10860,6464,-9160,-4085,-6295,3564
9.971,-9604,12580,-5204,6656,7555,-9789
10.078,-13836,5924,-6488,1391,-3884,-5316
10.186,-13640,9716,-5844,-3294,-9639,-8322
10.295,-20444,7640,-12452,-4117,-11854,-16018
10.403,-17608,14304,-8248,-7546,-10940,-24402
10.51,-7964,-1536,-504,9333,19041,1033
10.617,744,3028,-14996,-4208,9092,28932
10.725,-22252,12956,-540,-2098,15024,32767
10.831,-28428,9624,-8284,7479,27326,25306
10.938,-32768,-8504,-6072,22877,6147,1714
11.045,-24848,19508,-5240,-21791,-30937,10336
11.151,-6868,12848,-17472,1836,-4481,-19546
11.259,-6104,14236,-8580,-2519,-11195,6113
11.365,-15936,-1740,-11068,3582,1966,-8076
11.472,-13476,9504,-3404,2094,-1600,-2221
11.579,-13868,8964,-6948,78,-8614,-7702
11.686,-20336,7552,-8196,-6477,-14272,-3660
11.794,-19756,17772,-13332,-6855,-13877,-27408
11.901,7840,4248,-3272,4339,771,5449
12.008,4240,5408,-11088,-10197,-1274,23992
12.115,-23560,14076,2088,2148,25049,32767
12.222,-32768,844,-14436,9937,32610,20854
12.33,-30308,-1028,-3088,22471,8426,-495
12.436,-23304,16796,-6684,-20525,-32406,1603
12.543,-4112,14212,-14772,-1752,-6311,-20803
12.65,-9884,16612,-2284,-1890,-6479,-159
12.757,-15808,-2144,-12252,2744,4785,-10238
12.864,-15072,8356,-2792,2595,-2571,-1307
12.971,-12500,8800,-7012,-338,-7554,-7039
13.077,-18192,6576,-5700,-2170,-7409,-6360
13.186,-22268,14392,-15208,-7746,-14934,-24812
13.292,-2808,9708,-5688,2866,-3162,-22667
13.4,-2344,11160,596,-9660,-4966,5598
13.506,-17052,4372,-10000,13699,23904,26738
13.613,-28528,7472,-32768,1253,27051,32767
13.72,-22672,2200,-5408,11256,26676,7607
13.827,-7892,30720,-10188,3684,-27851,-32768
13.933,-8472,-6688,-32768,-6997,-31167,-14845
