time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.009,-6692,5592,-12412,-8454,-2874,19475
0.116,-19608,13608,-5792,1289,8667,30660
0.223,-20384,-8496,-5848,15791,11940,-8014
0.332,-760,23968,-13208,7961,-19161,-807
0.44,-7500,14284,-4840,-16042,-4652,-13682
0.548,-15036,5036,-4096,7348,15146,-17595
0.655,-12620,1504,-9540,-2772,4142,-6866
0.761,-13132,9268,-5996,982,-1190,-6529
0.869,-15540,8268,-5224,1034,-6260,-11625
0.978,-24580,14288,-6968,-7460,-16666,-16796
1.085,-17188,4292,-6316,8471,-7952,-27432
1.191,5932,18208,5020,7950,-7701,9886
1.298,-4744,6584,-21932,18067,32767,10282
1.405,-32768,18124,1464,-4415,32767,32767
1.512,-32768,-1268,1384,-12187,32767,10840
1.618,-13412,32767,-10784,15841,-32768,32767
1.724,-5976,-5728,-29920,-24579,-18240,-1138
1.831,-15280,17524,5960,-1277,7764,-10254
1.938,-11956,4260,-11740,-2621,2489,-3635
2.045,-14288,11776,-3516,-371,-7355,-7199
2.153,-32768,16824,-8480,-701,-29075,-15342
2.259,-8660,12188,-3272,1070,-13925,-29863
2.366,15432,15276,-15660,-22879,-14343,32767
2.474,-11764,20944,-8864,21136,32767,29982
2.581,-32768,-1948,-32700,-1148,32767,13269
2.688,-32768,-13508,-6816,32767,-32768,-32768
2.794,-32768,11340,-1600,-22101,-32768,-28347
2.901,-4332,-17996,-32768,-16379,3311,8910
3.009,-5168,21884,-6160,-1555,-5102,7113
3.116,-10400,10008,-9616,1451,3823,-7667
3.222,-23508,9412,-6196,3719,-7183,-15948
3.329,-26340,31968,-23628,-12322,-32768,-24152
3.437,12840,156,-1044,6658,-1541,-31368
3.544,-300,4340,-23752,17399,32767,24645
3.653,-32768,24868,-12140,19624,32767,32767
3.759,-32768,32767,-32768,-32768,32767,18725
3.866,-32768,-15192,19340,20940,-32768,-12902
3.974,-10740,23956,-11444,-32768,-32768,-5929
4.081,-19948,16892,3740,22624,19269,-31255
4.188,-13500,6432,-9232,-6849,-7882,634
4.295,-20380,10036,-6220,3591,10531,-17212
4.402,-30944,28912,-26256,-6072,-32768,-32768
4.509,10704,6564,-1600,-5920,-30787,12002
4.616,2300,-4720,-32768,-2727,32767,7990
4.723,-25632,22280,-12260,28129,32767,32767
4.829,-32768,4072,-11804,417,32634,24616
4.936,-32768,32767,-32768,32767,-32768,-32768
5.044,-32768,28288,-11100,-32768,-32768,-22600
5.151,-19712,-13928,-19472,3078,17441,-13625
5.257,-9920,18908,1844,-5814,-7013,16584
5.364,-11524,5016,-13912,4005,12579,-12176
5.472,-30912,13480,-9696,2319,-22392,-16200
5.579,-19168,21812,-7820,4691,-32768,-16659
5.686,13908,12920,-5100,-3804,-5846,19600
5.793,-12100,22312,-9712,24702,32767,32767
5.9,-32768,21844,-6400,-706,32767,32767
6.008,-32768,-27124,-14180,32767,-24065,-32768
6.116,-19832,21408,4752,-13275,-32768,-19447
6.223,-17456,5280,-32768,-32768,-32768,32767
6.33,-5092,22468,-9692,16047,21876,-24710
6.437,-10664,4680,-14876,-6901,-4828,-1097
6.545,-27000,13144,-1980,3762,-11876,-8086
6.652,-16404,30088,-21896,-32716,-32768,-4025
6.758,12972,20324,-1156,-12500,-12025,2265
6.864,-8976,2416,-16068,24805,32767,12075
6.972,-32768,16220,-32768,18215,32767,23985
7.079,-32768,-14388,21048,32767,-32068,32767
7.186,-32768,-6148,32767,32767,-32768,32767
7.293,-16212,27968,-25112,-31744,-32768,19071
7.399,-14676,-3308,-10748,2683,27781,-32768
7.508,-4944,7320,-27100,464,5734,-23036
7.616,-18664,5496,-12768,-3208,-6121,-24260
7.722,-20424,30100,-21960,-6090,-30690,-32768
7.828,1984,-1632,4088,9855,-16527,-32768
7.936,1748,3708,-13000,19250,21825,31573
8.042,-32768,27472,-27180,16901,32767,32767
8.148,-32768,2548,-32768,4364,32767,32767
8.254,-32768,4404,-8052,5261,-32095,-32768
8.36,-16972,31892,-20896,-32768,-32768,-17219
8.467,-16572,7524,196,32767,22835,-793
8.574,-7584,29564,10556,-15388,18559,14051
8.681,-11256,9388,-15980,7250,15250,-7490
8.789,2232,25560,-6268,-32620,-16640,-32768
8.895,1852,4056,-10900,-4476,-25257,-13955
9.002,5168,6420,-8668,-5117,-12724,32767
