time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.008,-16676,4668,-64,2230,-7174,-5357
0.116,-12896,6856,-4424,1302,-2039,-4654
0.223,-15316,4784,-2860,2745,-2953,-6007
0.331,-15544,4400,-3388,928,-2227,-6348
0.438,-16908,3692,-1376,986,-2989,-7348
0.544,-17276,3272,-8900,-6292,-9960,-9184
0.653,-19568,21132,-11292,-8214,-26396,-9815
0.76,-5256,17844,5444,7562,-3163,-25593
0.868,1912,9648,-364,-2602,-1266,11338
0.975,-16688,3916,-5852,21030,19692,14647
1.081,-24320,6888,-5504,18205,32767,19480
1.189,-15612,6820,-9296,-7396,13834,15694
1.296,-9888,5816,-1640,-3518,-8051,2811
1.402,-17808,-1720,-5876,-2520,-5567,-6218
1.508,-32768,-27252,17640,-19011,-31488,14503
1.614,-28048,7772,15276,6612,21112,-23552
1.721,-15936,-248,-9508,-3349,809,-6203
1.828,-13996,11156,-180,-6054,-8072,199
1.935,-12124,8756,-7032,6774,4315,-7261
2.041,-10548,8828,-6564,-3432,1812,10192
2.147,-7736,12172,-4248,2867,410,-6531
2.254,-15828,6692,-3908,-5073,-1770,-9046
2.361,-25860,7892,-8032,-6309,-19353,-14877
2.468,-12336,10920,-10152,-8484,-14135,-20859
2.574,-12092,-7640,-1828,11549,17170,-3968
2.681,-3724,-3228,-5960,366,3021,29540
2.789,-25640,15384,4768,13863,32617,32767
2.896,-20252,13144,-6648,4718,22507,28896
3.004,-16332,9788,-312,422,13552,14852
3.111,-9000,-24,-9764,-4518,-948,8068
3.218,-19692,-344,-2044,10364,-14513,-22502
3.326,-17948,-7864,-2248,-19081,-32768,-440
3.433,-13368,15268,7428,4024,-10666,-1843
3.541,-12320,5848,-3324,2465,735,-6211
3.647,-15528,2440,-4952,-1927,-10472,5473
3.755,-4612,23660,-32768,6984,-4834,-27328
3.862,-13740,1608,-14104,-2428,-11564,-10518
3.968,-18132,8292,-3032,-1255,-4910,-10953
4.074,-27284,13772,-12796,-11919,-11990,-14183
4.181,-18748,2204,-9036,1853,-14482,-10753
4.288,420,868,12012,16056,15550,-6516
4.396,940,-3892,-15056,-14335,14358,32168
4.504,-32768,-1264,-748,27062,32767,1530
4.611,-19212,13260,10628,-32768,32576,25158
4.718,-14312,8896,-2120,-8285,7981,15083
4.826,-17328,-2452,-10564,-6255,1269,2688
4.933,-3700,32767,-6176,10349,-32768,32767
5.04,-9348,25276,-30428,6078,16475,-11715
5.146,-13376,3956,-6924,4050,7584,2914
5.254,-13892,12112,-1532,-5402,-1713,431
5.362,-28976,-28680,23088,8166,-32768,-19532
5.469,-20616,2700,-632,-2615,-10819,-11431
5.575,-17300,6748,-3308,-1437,-4324,-9275
5.681,-16544,10520,-7164,-7304,-5352,-14332
5.791,-25016,17396,-20876,-15738,-18632,-11284
5.898,-2956,10740,-236,5513,-8450,-15851
6.005,-748,7816,-7336,-17828,2906,22056
6.112,-21624,-1864,-11804,30403,32767,3144
6.219,-18772,12284,-7896,7681,11782,32767
6.328,-19588,10512,-356,11469,23187,5851
6.435,-14192,2404,-3628,-13089,-3545,6261
6.542,-22672,-8648,-7196,3793,-7533,-10318
6.648,-32768,-32768,-4100,-18523,-10474,-32768
6.756,-30812,-7224,15344,1823,4167,-28608
6.863,-16784,2332,-5180,1173,-2875,-106
6.97,-10968,12848,5148,-631,-23815,20419
7.077,-25044,-4804,17720,7006,7440,-2393
7.183,-22020,164,-3656,-4952,-7700,-6216
7.29,-17292,8428,-2956,-527,-1840,-10733
7.398,-17580,8960,-9640,-12241,-9298,-14499
7.505,-15368,14816,-18620,-8916,-15168,-10642
7.611,-10412,22640,5956,13571,5394,-32768
7.718,-3820,3980,-4464,-13799,-2242,17106
7.826,-8648,-1884,-20340,15629,17441,17714
7.934,-16248,14712,-1096,8361,23547,28528
8.04,-22368,12096,2068,3222,23763,11140
8.146,-14760,-3132,-4520,-8045,9021,8832
8.254,-20260,-3588,-8484,-3730,-14779,350
8.362,-32768,-21024,3216,-10566,-21571,-32768
8.468,-23684,15740,2280,509,-17231,-27063
8.574,-17308,-2528,-10552,3104,-1966,-238
8.68,-11304,12200,-3180,-7644,-4607,-311
8.789,3268,19256,-23692,-1751,12968,-12431
8.896,-10572,11544,-9532,-284,-4547,-8917
9.002,-17296,8792,-2492,-2662,-5100,-13066
9.108,-20336,15952,-17492,-6351,-16662,-23263
9.215,-14088,13196,-12692,-3788,-9731,-23327
9.322,-2220,5368,6292,-4905,-6583,3691
9.429,-14176,-11544,-8128,14900,4368,32767
9.537,-24028,16796,6120,12145,19559,32767
9.644,-25044,10496,-6720,18433,28046,17791
9.751,-15028,6800,-5472,-12494,3161,12594
9.858,-10104,8732,-4652,-6280,6285,-4015
