time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.0073,3872,8556,-15372,1532,-7601,-670
0.0279,3840,8132,-15536,1279,-7839,-2294
0.0499,3452,8296,-16152,858,-8935,-3845
0.0674,5280,8364,-17516,1736,-8935,-4714
0.0873,6304,8128,-17428,4536,-4687,-10097
0.1063,7356,9924,-17736,5977,-5064,-9485
0.127,7824,10104,-17444,8061,-499,-10615
0.1462,5072,8468,-17376,9410,-312,-11199
0.1666,4872,10456,-16232,9641,623,-14216
0.1871,7080,12164,-13340,9447,-7468,-12240
0.2068,16640,13656,-15976,8488,-16673,-11905
0.2272,19924,25696,-15372,6672,-9580,-4531
0.2462,11148,11200,-20364,-2946,-8251,6848
0.2666,-2516,-4332,-20384,3438,2403,-11833
0.2879,-6768,6832,-15756,5289,-5142,-16590
0.307,-1448,4112,-19544,-599,-2834,-10294
0.3272,-2824,2612,-17448,-5080,1742,-2312
0.3459,-7968,-3356,-16504,-9947,2735,5176
0.367,-10520,-7268,-16676,-2476,-1733,-2078
0.3872,1520,6224,-14068,-1707,1417,903
0.4068,2772,9092,-12572,-8493,15099,8531
0.4285,-5892,6192,-9140,-10634,15999,9582
0.4466,-5364,5008,-12232,-11346,16596,11454
0.467,-4992,3552,-14840,-10934,20525,13355
0.4864,-4952,4992,-11304,-8427,21655,11018
0.5064,-1256,7716,-10760,-10248,23899,15245
0.5281,-4268,6276,-11232,-11992,25263,16723
0.546,-3888,5608,-11392,-12525,24179,15997
0.5667,-3036,9144,-15340,-13147,27344,15908
0.5871,-4520,17472,-12320,-18162,25862,18995
0.6068,-5176,23624,-13584,-27965,19569,25965
0.6281,-4244,22044,-24900,-32768,6265,32767
0.6463,2264,5568,-25836,-32768,1840,32767
0.6666,5708,-12744,-24688,-21939,3919,31794
0.6874,7072,-11764,-18940,5324,13767,14107
0.7063,-876,-1208,-6540,18999,6386,4541
0.7265,-872,11236,-1608,16175,-8659,-2566
0.7462,6240,14692,-4288,1911,-20291,4479
0.767,7068,1900,-16920,-648,-17050,-2073
0.7864,6872,1636,-20452,15355,-14852,-20717
0.8065,32767,23424,-22004,17401,-5100,-20678
0.8291,20120,21980,-21372,5924,31410,-888
0.846,-18736,14144,-9544,8832,4576,-17849
0.8672,6816,20088,-10176,2086,-25659,-13980
0.8875,22788,8456,-23176,-6822,-2547,-3702
0.9065,5852,-3220,-19660,-6512,14823,-1273
0.9275,-16252,-2656,-8300,9060,5514,-20701
0.9462,-4904,16636,-9820,5113,-21908,-12309
0.9668,16880,16656,-18620,-5195,-17901,1023
0.9871,16716,4424,-20420,-6133,382,2583
1.0072,4844,1604,-10760,2577,-7949,1430
1.0282,9148,6460,-13180,4141,-15182,4504
1.046,10664,7640,-13440,3360,-12771,7108
1.0662,7856,6172,-12956,3755,-14955,5773
1.0871,9088,6636,-12936,3121,-13676,4120
1.1069,6188,7832,-14864,519,-12763,3826
1.128,4380,6612,-14212,801,-9478,-780
1.147,2788,8552,-11760,-666,-11003,-2308
1.1667,3528,9152,-13276,-2625,-10352,-1522
1.1866,3404,6688,-14696,-2556,-9454,-4669
1.2069,4672,7648,-14436,-2070,-7601,-5710
1.2272,4076,7148,-13796,-2118,-7145,-7121
1.247,3820,6152,-14516,-1480,-8404,-8146
1.2669,6084,5084,-15164,-423,-8121,-8147
1.287,7552,4292,-15100,1647,-6289,-9829
1.3065,6652,5656,-14924,2990,-5122,-10027
1.3268,6164,6828,-15428,4598,-6567,-11123
1.3462,6400,8184,-16248,5918,-4308,-12894
1.3663,5172,11340,-15872,5472,-5771,-12949
1.3867,5576,9932,-18160,5978,-5271,-13989
1.4071,4848,7720,-19376,8655,-4165,-15974
1.4293,8604,6420,-26016,11089,1297,-19089
1.4469,5288,11408,-13132,15465,-7780,-18714
1.4665,18132,17584,-19940,15133,-13259,-15004
1.4866,20456,29480,-3712,13402,151,-18078
1.5062,9420,32767,-6672,-5654,-32768,15985
1.527,23992,8332,-32768,-9493,-19922,9148
1.5474,6368,-16268,-32768,-1174,18125,-13097
1.5668,-17808,-5280,-13620,15574,-2122,-26620
1.5861,4284,3048,-18976,2888,-13450,-19801
1.6071,7472,4000,-20816,-6933,15613,2124
1.627,-23032,-2484,-12292,-9873,11044,7725
1.6462,-16716,-5736,-14116,-6428,-16438,2625
1.6673,6872,8636,-15236,-3652,6396,2422
1.6873,-3388,9996,-6376,-14027,18863,13940
1.7066,-9540,-964,-9608,-14033,14915,8927
1.7275,-3124,2316,-13044,-10102,18779,8699
1.746,-4424,3376,-11920,-8522,23109,7966
1.767,836,7848,-13652,-7977,19719,12404
1.7862,2220,5808,-13996,-11180,26468,18971
1.8067,-6340,1716,-12356,-9341,25469,16211
1.8276,-4132,7264,-13272,-10077,24147,17573
1.8462,-4500,13656,-14460,-15173,27254,24003
1.8665,-10644,15680,-17484,-22369,26862,25196
1.8871,-9652,17916,-12324,-29074,14635,31491
1.9063,-492,11840,-23108,-30176,7670,32767
1.9266,6592,4456,-28376,-23782,8472,32767
1.9464,7964,-4692,-25076,-10399,8035,27420
1.9666,5404,-6864,-14956,4998,18485,18574
1.9865,-8576,-520,-1948,17008,6638,2090
2.0067,-5600,12660,-2976,9733,-17751,-1352
2.0267,8116,10000,-9000,-727,-22464,-1689
2.0465,6260,424,-16416,1382,-12697,-7104
2.0665,7416,4744,-14608,20324,-12465,-32768
2.0872,32767,24436,-16020,17953,-12968,-30203
2.1063,32767,25432,-30876,3700,32767,13603
2.127,-31488,4868,-13844,13737,32767,-20350
2.1461,-18856,19220,2128,18301,-32768,-32609
2.1666,28464,19276,-25540,-8481,-27187,-6676
2.1873,20352,1868,-27648,-7420,26201,3392
2.2066,-22240,-2684,-7776,6019,8464,-17299
2.2273,-9840,11884,-14508,5193,-23710,-18603
2.2459,14872,15196,-21028,-3599,-14907,-5024
2.2666,11384,7032,-14512,-4044,-983,-348
2.2872,5492,5688,-8552,506,-12908,2651
2.3071,10684,4888,-14976,2765,-12953,4431
2.327,8456,5360,-13744,5605,-13615,5278
2.3459,8724,7460,-12228,5743,-14734,5833
2.3671,8088,7608,-12200,2669,-15182,5634
2.3872,5584,6464,-13608,470,-14054,3447
2.4069,3412,7964,-13700,43,-12377,728
2.4287,2400,9344,-13412,-1212,-11970,1067
2.4476,2276,7508,-13936,-1731,-12279,-945
2.4665,2544,7060,-15408,-1893,-10340,-3066
2.4869,2732,7288,-14708,-1066,-8881,-5179
2.506,3688,8392,-14948,-1759,-8254,-6814
2.5283,3808,8480,-14292,-1879,-8166,-7489
2.5459,5456,9072,-14364,-1567,-9924,-6576
2.5665,7592,7328,-14176,-1450,-10707,-5558
2.5871,9036,4828,-16704,488,-10369,-5894
2.6065,10184,4016,-18488,4314,-7901,-9056
2.6269,9080,5268,-18404,8216,-3654,-13453
2.6461,5220,10396,-18496,9759,-5465,-13423
2.6658,6860,8076,-23024,10214,-3385,-13576
2.6882,6628,7840,-18492,13154,-4314,-15790
2.7058,10812,11972,-21896,16314,5211,-31507
2.7262,12396,23056,-15092,12573,-10865,-21274
2.7457,18192,32767,-4824,19467,-11449,-25743
2.7662,17568,32767,-9256,-14746,-32768,14904
2.7871,24440,2272,-32768,-24573,-14144,11575
2.8057,1936,-22696,-28676,-2204,17855,-15510
2.8261,-13096,-7856,-18416,13873,-1169,-24402
2.8459,6116,8564,-21328,10933,6006,-16540
2.8666,-10728,7480,-19516,-7031,27404,6543
2.887,-29944,-3436,-7436,-9484,-11106,13685
2.9057,-324,1880,-18200,-5531,-11251,8436
2.9263,4560,9056,-11740,-8038,20871,12757
2.9462,-9372,4168,-6500,-9174,19472,12879
2.9663,-4240,376,-11000,-6587,20854,6617
2.9874,-4704,3992,-12052,-4283,25657,6396
3.0059,-6132,9224,-8788,-3048,22279,8328
3.0267,3388,8424,-15664,-8279,20387,16535
3.0459,-6172,4772,-12156,-9601,26018,17989
3.0666,-6180,8260,-10844,-12477,22447,20110
3.088,-5016,14340,-16368,-18145,25071,27585
3.1058,-12316,14836,-19168,-22693,29275,24599
3.1261,-8572,17684,-11116,-28484,16387,28239
3.1458,1472,14116,-20836,-30242,9583,32767
3.1662,5452,7000,-30484,-25834,5929,32767
3.1877,6004,-2392,-30832,-10582,11284,29042
3.2057,432,-10044,-11760,6904,18666,17131
3.226,-12444,900,-1540,13977,-3282,2553
3.2459,-892,12708,-5152,7484,-25688,-2442
3.2668,11452,7604,-12308,-1261,-19405,-1948
3.2878,4880,-704,-17516,9678,-14881,-22752
3.3072,25072,13796,-22060,18727,-19815,-32512
3.3275,32767,20268,-32768,10984,31999,-11634
3.346,-10160,6684,-26388,12108,32767,-7899
3.3666,-32768,8240,5564,32767,-5738,-32768
3.3869,6836,29736,-15220,4323,-32768,-16957
3.4067,32767,11844,-29860,-11229,4457,2865
3.429,-10044,-7692,-12140,-2779,22186,-16097
3.4473,-17956,8016,-10776,5801,-21288,-19878
3.4669,11340,16664,-17728,-3874,-17179,-8723
3.4873,15904,9136,-16144,-7873,-3660,-1656
3.5066,7012,2680,-11032,-2142,-8431,-2186
3.5266,8444,4932,-13476,2395,-11266,826
3.546,5368,6656,-13140,5540,-12909,1544
3.5667,7724,7760,-12800,3797,-15659,4276
3.587,7220,4592,-15652,2820,-14398,3278
3.6063,6848,5504,-14936,3646,-11458,147
3.6268,3996,9788,-14588,2598,-6668,-3076
3.6465,-660,12856,-11844,1725,-8555,-1422
3.6668,-1952,9900,-14324,-1162,-12825,-2370
3.6869,2340,8892,-15452,-1895,-12558,-2815
3.7066,4288,6464,-15064,-2334,-10683,-4239
3.7304,5188,7860,-15532,-2312,-10890,-5014
3.7469,6524,8556,-15476,-2113,-11713,-4853
3.7666,8168,7556,-15256,-2336,-12315,-3627
3.7871,10164,5812,-16012,-614,-14466,-3524
3.8065,13032,4348,-18616,2438,-12872,-5240
3.8279,14068,4516,-20260,7804,-7396,-9445
3.8459,9148,6556,-21888,11579,-2980,-11895
3.8663,8772,8132,-18992,14128,-4795,-14670
3.8879,8608,9804,-20308,17370,-10450,-14048
3.9068,10856,19404,-13764,13309,-7422,-19718
3.9267,22540,14520,-18116,20067,-17751,-32768
3.9463,21444,32767,-4160,3826,-19692,-7555
3.9673,23136,19004,-28344,-31162,-31228,29008
3.9861,1040,-17576,-32768,-18819,13122,-5975
4.0071,-21732,-7340,-14284,2846,-5964,-24875
4.0271,7908,-10824,-32768,9981,850,-24639
4.0461,868,2104,-27716,2932,32767,1534
4.0693,-32768,2084,56,3277,6544,1924
4.0865,-13268,15412,-6136,-3981,-18304,9444
4.1065,7676,11112,-16340,-14152,14884,17005
4.1269,-9804,1244,-10724,-9341,28994,10149
4.1458,-11080,796,-3956,-4632,21609,5777
4.1663,-3660,3632,-9072,-4640,26681,8220
4.1868,-8364,8580,-4408,-5732,20524,8373
4.2066,932,11704,-9208,-10533,17579,21065
4.2287,2156,652,-16764,-9803,27745,21267
4.2469,-9420,1136,-12636,-6980,29694,18664
4.2666,-11896,12704,-10532,-10016,24674,22476
4.2861,-10292,18664,-15008,-25727,17386,32767
4.3068,-6204,13204,-17220,-28669,17508,30697
4.3275,380,15212,-17344,-29671,10932,32767
4.3467,8080,9140,-32768,-26658,2389,32767
4.3668,8712,928,-32768,-14954,11725,32767
4.3871,-984,-13300,-11936,9267,20209,16642
4.4065,-13936,-64,-1268,18267,-2650,-6358
4.4275,-572,15916,-5244,8242,-28623,-4555
4.4461,10828,7884,-15192,-1116,-19645,-1640
4.4674,7612,2104,-16440,14148,-12048,-22750
4.4871,31704,15784,-15076,18983,-23775,-32768
4.5061,32767,32767,-30960,5602,32767,6265
4.5275,-29720,10512,-17152,11401,32767,-15220
4.5466,-20772,15580,-2048,12998,-32768,-27591
4.5667,27796,14376,-31184,-3136,-15771,-12980
4.587,7024,-2904,-27072,-2956,32767,-3665
4.606,-32188,-1020,-5336,12809,3313,-26491
4.628,-2756,20488,-16512,1748,-29230,-21363
4.6463,22704,21824,-19160,-8779,-11172,-2715
4.667,13012,7496,-11144,-11123,-4741,8224
4.6868,7836,-1592,-11788,-3947,-13050,4520
4.707,9708,1056,-15404,4461,-14551,1980
4.727,8836,5428,-15012,6901,-11656,2526
4.7465,5484,6688,-12224,6860,-15019,3042
4.7674,7524,9816,-13168,4312,-13243,1170
4.7868,4600,9696,-14080,1087,-10392,1491
4.8067,1644,8472,-13712,-306,-10868,178
4.827,1588,9092,-13412,-581,-12473,-1119
4.8465,3520,7096,-14896,-1790,-10710,-4692
4.8684,3648,7396,-13504,-614,-10391,-4765
4.886,3440,7436,-15300,-2013,-8755,-5999
4.907,4676,8056,-14540,-1241,-9088,-6785
4.9275,5728,9004,-14300,-1911,-9031,-7028
4.946,6360,7812,-14556,-2260,-10375,-6593
4.9661,8184,6148,-16448,-49,-10905,-8168
4.9872,10632,6636,-17272,3350,-8837,-10532
5.007,10408,8456,-15996,6011,-7009,-11492
5.0271,9204,8644,-18740,8900,-6173,-12186
5.0459,7940,6716,-21988,10632,-3466,-13149
5.0666,9648,6948,-21628,15334,-4047,-16516
5.0874,12772,13056,-21160,19156,3901,-28619
5.1069,15136,22564,-14016,10806,-15225,-16039
5.1261,22064,32767,-7716,14741,-13015,-32768
