time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.0083,11944,14232,-22160,-5106,7336,-970
0.0285,-2728,7016,-2592,-4674,1485,-15043
0.0507,8168,11948,-7956,-3962,-16672,-13661
0.0672,21420,1812,-20188,-4796,-12946,-8730
0.0871,16624,-4592,-26700,3936,2384,-16295
0.1068,-884,10672,-11912,9984,-3350,-20019
0.1267,14620,14204,-21320,448,-8448,-9159
0.146,6304,1364,-27440,-1989,11520,-4957
0.1667,-11716,1320,-19264,2142,10400,-5585
0.1871,-10268,10872,-15244,-2814,-4673,4797
0.2066,-3216,7680,-18336,-11371,2236,12939
0.2282,-4088,-484,-17768,-9167,7586,10268
0.2468,-4148,1196,-16988,-7176,12097,9525
0.2669,-5548,1232,-16548,-6026,14132,10771
0.2862,-3132,1608,-15708,-3619,14632,9677
0.3063,-1028,3344,-15868,-4400,18766,11708
0.327,-5060,732,-14360,-2941,21175,9480
0.3469,-5420,2348,-14784,-2896,20585,9164
0.3666,-3236,4384,-16056,-4954,21830,12998
0.3871,-5012,4856,-14768,-7035,24179,14140
0.4075,-5164,6576,-14308,-9845,28400,14209
0.4279,-5440,4480,-10500,-11245,26890,11832
0.4468,-396,8564,-11320,-12946,29112,13927
0.4667,-1172,8668,-14176,-16384,29963,17449
0.4864,-1528,8852,-15496,-16312,27113,17763
0.5064,896,8864,-18008,-16131,25130,19437
0.5274,-612,7492,-18564,-15632,24109,20684
0.5465,-1784,6340,-15568,-12972,19289,21049
0.5665,1240,6108,-14788,-12383,12685,21291
0.5863,6360,1080,-13768,-8929,10896,16097
0.6066,5628,0,-7608,-4601,11170,8908
0.6282,1756,-1660,-3864,-342,-1073,3274
0.6464,6316,-7076,-9716,3557,-11483,-4421
0.6663,6376,-9736,-17064,10986,-3716,-18879
0.6862,-10512,-5164,-16468,21144,-10622,-24880
0.7062,10332,20752,-32768,32767,-32768,-32768
0.7266,32767,32767,-32768,32705,21543,-21234
0.7466,-10416,2936,-28916,-30276,32767,32767
0.7662,-32768,-32768,-4280,30147,-8911,-32768
0.7864,-19512,3376,-24692,32767,-32768,-32768
0.8064,15424,23840,-23832,28447,893,-18264
0.8264,-19100,24944,-21840,6636,-9855,6852
0.8466,-6684,11244,-28548,-2628,-32091,-5290
0.8681,21112,2572,-32768,566,-6744,-995
0.8863,1848,2512,-20160,11471,17994,1291
0.9067,-16600,9936,-6636,11358,-6780,-1319
0.9267,-2180,15040,-14148,-994,-23352,7648
0.9466,8992,9704,-21168,-7779,-14936,18215
0.9674,4236,1480,-17768,-7354,-11826,22224
0.9866,3604,796,-15904,-3174,-15699,21314
1.0068,8200,5912,-16252,-1256,-13320,19230
1.0272,6736,9800,-13292,-5252,-12732,26266
1.0479,420,-744,-14384,-6819,-17243,24902
1.0666,4076,-3492,-17188,-358,-18018,15018
1.0861,7476,4436,-17132,172,-11440,13000
1.1074,2592,5816,-14056,-3060,-13009,10929
1.1279,3468,4004,-14236,-5166,-12871,7341
1.147,2540,2836,-15136,-6661,-13440,4976
1.1663,3452,388,-18960,-4769,-10766,542
1.1861,780,3516,-18248,-1577,-8414,-4624
1.2065,1280,9792,-15432,-3358,-9400,-4289
1.2273,2680,8204,-15556,-5226,-11585,-4390
1.2464,3484,5892,-18876,-7075,-10483,-3875
1.2675,3180,2416,-21876,-6250,-13363,-7114
1.2861,6980,372,-23768,-3959,-13700,-10199
1.3062,9648,1584,-17628,-1888,-9941,-13607
1.3277,12112,6056,-18356,-2140,-8706,-10835
1.347,9484,5008,-14300,-12,-10548,-13879
1.3662,4972,4852,-24080,-2183,3191,-13480
1.3864,-7420,6856,-17016,6477,-11886,-28498
1.4064,15736,17808,-20440,8793,-21741,-32768
1.4272,32767,32767,-16600,754,-16674,-14012
1.4457,32767,23704,-18900,-11050,-1952,-1041
1.4658,16592,7768,-24984,-19090,14871,7148
1.487,-17656,-13960,-22052,-10291,15782,-16854
1.5069,-16300,3964,-17064,8320,-15483,-32768
1.5263,11204,17256,-29548,-6301,-6524,-11852
1.5457,-732,4376,-30132,-9264,21594,-4732
