time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.0113,16932,13068,-16164,14264,-20451,-22586
0.0262,27720,32767,-14912,6508,-19290,2215
0.0518,11044,1276,-30320,-18698,17047,7673
0.0665,-16448,-20444,-20576,4556,3599,-30532
0.0865,792,5028,-20056,6415,-4578,-27367
0.1073,96,788,-24052,-7784,12404,-1320
0.1263,-17560,-9156,-20180,-1510,7744,-5342
0.1474,-8040,4836,-15744,-1018,-1629,-3566
0.1659,-868,17808,-9484,-11654,12776,10685
0.187,-10132,920,-9904,-20716,12953,16675
0.2077,-5076,-1980,-12836,-12194,15927,8626
0.227,-44,3612,-13140,-10804,24807,12859
0.2479,-3788,4064,-11628,-9487,20031,18339
0.2661,2432,2896,-15064,-7482,26731,16013
0.2865,-2496,1444,-12200,-6270,31634,16017
0.3066,-6548,3784,-12508,-4869,30493,13102
0.3265,-6768,12320,-11496,-9187,29380,17538
0.3474,-9980,20016,-17444,-18827,28601,24079
0.366,-11004,20068,-13756,-29114,21081,31730
0.3875,-4912,15924,-20236,-32768,7693,32767
0.4063,9728,4336,-26004,-28390,3991,32767
0.4264,13324,-3104,-30136,-12608,16195,32767
0.4471,5108,-7444,-18252,7254,22624,16370
0.4666,-8132,-2028,-740,17295,11129,-897
0.4867,-8148,9600,736,11097,-18115,-5542
0.5062,4764,8880,-11832,-29,-26425,-3561
0.5267,-1240,-2692,-21972,1570,-17107,-13129
0.5481,6080,-2556,-19112,24593,-25974,-32768
0.5669,32767,32767,-17088,26683,-9299,-32768
0.5872,32064,32760,-16272,-9636,32767,26319
0.6064,-31488,-15528,-16420,2083,13332,-8727
0.6273,-19520,-4396,-21148,18387,-25395,-32768
0.6468,11584,11456,-32572,24108,1786,-32228
0.6668,-6488,11132,-17020,20308,18549,-16998
0.6867,-21032,13832,-13372,11705,-14140,-15588
0.7064,3072,24840,-18072,7650,-14868,-18007
0.7269,17720,13728,-22352,-8400,-3498,6430
0.7473,540,3692,-16100,204,2663,3444
0.7662,-7528,8432,-12780,-271,-14613,5196
0.7865,-3180,9872,-18752,-7429,-16283,10191
0.8063,2588,9424,-14412,-6060,-17214,4863
0.8266,8580,13152,-15116,-9960,-18042,16836
0.8467,2516,5800,-15208,-12003,-14903,18043
0.8669,-248,80,-15744,-7228,-21447,15511
0.887,9484,2656,-17580,-275,-19098,10748
0.9062,14612,3500,-13896,62,-15178,14408
0.9268,11104,984,-12488,-610,-11661,13258
0.9482,4796,3960,-11704,329,-15997,8715
0.9666,10284,7324,-16336,-468,-19047,6313
0.9867,12728,7100,-15012,-2452,-11022,2678
1.0068,3812,6292,-14480,-2748,-12083,1447
1.0266,4604,3496,-18164,-2576,-15097,-6951
1.0466,9116,8324,-16700,-7316,-17920,-1090
1.0657,11276,3264,-19936,-6498,-15878,-7159
1.086,11584,4492,-20828,-3341,-10324,-14834
1.1071,11096,8096,-20452,-3116,-12723,-13733
1.1261,11116,5060,-23828,930,-7097,-18421
1.1464,10300,7488,-19072,6085,-6172,-25174
1.1657,17532,15016,-19396,12230,-11838,-30955
1.1862,22020,32767,-18372,9574,-5739,-20107
1.2063,29660,7624,-16768,5463,-20225,-20255
1.2263,29456,28508,-27524,8404,-305,-20684
1.2461,2208,3656,-19172,-16424,29710,-13615
1.266,-24972,-4868,-13788,-20288,-24747,-7029
1.2865,11704,-17608,-32768,-13136,2603,-16027
1.3062,-11684,-18636,-32768,15721,32767,-19556
1.3263,-32588,9052,-5184,20327,15445,-21209
1.3465,-9132,24216,-4672,-4371,-1993,-6739
1.3657,3192,15316,-12780,-27659,15087,17173
1.386,-11792,-6808,-14168,-19276,26131,12819
1.4066,-11184,-4772,-8160,-8447,18775,5185
1.4267,-3360,3836,-8652,-8240,23779,7179
1.4466,1560,3884,-8532,-8471,21562,12766
1.4657,4824,6192,-11360,-8970,26528,21961
1.486,-4320,4292,-13712,-9374,29287,21673
1.5064,-7140,8468,-12936,-10800,25875,23256
1.5266,-11984,14056,-18220,-18825,22074,30759
1.5466,-7252,11908,-17540,-22295,19975,29719
1.5657,-1348,12300,-16032,-23950,20623,32767
1.5862,3480,7452,-19228,-23365,12634,32767
1.6063,8860,5028,-32572,-15811,8946,32767
1.6267,8368,-7196,-20684,-26,27299,24418
1.6466,-10692,-2600,872,11370,10607,9529
1.6659,-8176,4500,2056,9209,-25912,-1407
1.6869,14056,9044,-13892,-1462,-28373,-2340
1.7064,4412,-2708,-22428,-2832,-4555,-8314
1.7272,-15296,-2872,-15580,32266,-22569,-32768
1.7475,32767,19908,-25516,32767,-32768,-32768
1.7667,32767,32767,-32768,-7643,32767,32767
1.7881,-32768,-15056,-19896,-2988,32767,5660
1.8065,-32768,-17140,-18524,24243,-32768,-32768
1.8264,7240,17508,-32768,32767,-18876,-32768
1.8466,5460,18244,-24760,22427,20936,-15926
1.8665,-31328,7944,-11344,-2828,-13055,377
1.8862,-10632,28464,-9380,21405,-26918,-31265
1.9066,26520,28920,-23096,-15652,-16223,6000
1.9265,13408,-244,-21240,-11068,9270,14195
1.9465,-9924,-6412,-13208,4015,-6973,1182
1.9662,-5584,7208,-19056,1222,-18394,8244
1.9869,1392,6404,-13808,815,-14664,-4143
